,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Family,Family,Family,Family,Family,Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Freedom,Freedom,Freedom,Freedom,Freedom,Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Generosity,Generosity,Generosity,Generosity,Generosity,year,year,year,year,year
Kazakhstan,57.6,60,54,60,3.286335345,5.84,5.82,5.79,5.92,0.05,1.190505254,1.173,1.12254,1.28455627,0.066225351,1.297243803,1.384369016,0.95544,1.516,0.2486262,0.63671631,0.631,0.57386,0.729,0.058071734,0.444628857,0.437454283,0.4052,0.51649,0.044880701,0.106428577,0.11132,0.08454,0.121,0.015726973,0.152868885,0.148,0.11827,0.201964423,0.030356028,2017,2017,2015,2019,1.58113883
Lithuania,52,52,42,60,6.782329983,5.93,5.9,5.81,6.15,0.13,1.23320247,1.238,1.14723,1.314582348,0.064504665,1.367415221,1.473516107,1.06411,1.527,0.201613723,0.708193988,0.716,0.62894994,0.818,0.07534499,0.255588357,0.234231785,0.18929,0.35,0.064802177,0.017675129,0.011865643,0.006,0.042,0.014285296,0.025164931,0.026,0.010164657,0.043,0.011932121,2017,2017,2015,2019,1.58113883
Poland,49,46,40,60,9,5.98,5.97,5.79,6.18,0.17,1.209037573,1.206,1.12555,1.291787863,0.063784105,1.331608394,1.438,1.04685,1.448,0.17442084,0.76681707,0.77903,0.69058,0.884,0.078149134,0.506492422,0.520342112,0.4519,0.546,0.038393822,0.054085561,0.055,0.04212,0.064,0.008459767,0.139097193,0.14443,0.108,0.16759,0.025839648,2017,2017,2015,2019,1.58113883
Bolivia,58.2,59,51,62,4.324349662,5.81,5.82,5.75,5.89,0.05,0.767261313,0.776,0.68133,0.833756566,0.056730448,1.09516381,1.209,0.83779,1.227619052,0.177987283,0.53930605,0.508,0.4697,0.706,0.097372052,0.551896585,0.558732927,0.50961,0.606,0.04162142,0.068787545,0.064,0.054,0.088,0.013738405,0.185180145,0.20536,0.137,0.225560725,0.042785103,2017,2017,2015,2019,1.58113883
Slovenia,55,55,44,63,7.90569415,5.89,5.85,5.76,6.12,0.15,1.260531191,1.258,1.18498,1.341205955,0.06217692,1.362299764,1.452518821,1.05613,1.523,0.197596234,0.852941646,0.856,0.790828228,0.953,0.067212851,0.581953162,0.572575808,0.53164,0.633,0.039543762,0.045469796,0.045128979,0.03635,0.057,0.008726003,0.211461819,0.242649093,0.144,0.25738,0.054839086,2017,2017,2015,2019,1.58113883
Northern Cyprus,61,61,58,64,4.242640687,5.78,5.78,5.72,5.84,0.08,1.246,1.246,1.229,1.263,0.024041631,1.2315,1.2315,1.211,1.252,0.028991378,0.9755,0.9755,0.909,1.042,0.094045202,0.456,0.456,0.417,0.495,0.055154329,0.158,0.158,0.154,0.162,0.005656854,0.185,0.185,0.179,0.191,0.008485281,2018.5,2018.5,2018,2019,0.707106781
Peru,63,64,58,65,2.915475947,5.73,5.72,5.66,5.82,0.06,0.965087054,0.96,0.90019,1.035225272,0.052631092,1.105782077,1.218770385,0.81255,1.274,0.202960226,0.703655223,0.674,0.62994,0.854,0.09356896,0.444996576,0.450002879,0.37502,0.53,0.05733592,0.044171817,0.047049087,0.027,0.05989,0.013511179,0.119381943,0.126819715,0.083,0.14982,0.030518043,2017,2017,2015,2019,1.58113883
North Cyprus,63,62,61,66,2.645751311,5.76,5.77,5.7,5.81,0.06,1.28879377,1.31141,1.20806,1.346911311,0.072135581,1.024881126,1.07008,0.81826,1.186303377,0.18813874,0.866542413,0.84142,0.834647238,0.92356,0.049494662,0.465811208,0.471203625,0.43596,0.49027,0.027553632,0.154644451,0.155353352,0.1428,0.16578,0.01150639,0.263918568,0.26322,0.26169,0.266845703,0.002647889,2016,2016,2015,2017,1
Russia,59.2,59,49,68,7.328028384,5.8,5.81,5.65,5.96,0.12,1.197139619,1.183,1.13764,1.281778097,0.059723354,1.337812478,1.452,1.05261,1.479,0.188367122,0.626303867,0.599,0.547349334,0.726,0.070866743,0.360078622,0.36679,0.32682,0.399,0.029723559,0.030974576,0.031,0.025,0.03586,0.004011601,0.045722764,0.052263822,0.00199,0.082,0.031544337,2017,2017,2015,2019,1.58113883
Cyprus,62.2,65,49,69,7.949842766,5.73,5.69,5.55,6.05,0.19,1.274927615,1.263,1.20813,1.355938077,0.061605373,1.029102655,1.131363273,0.70697,1.223,0.221646442,0.91361494,0.909,0.844714701,1.042,0.079923627,0.377180308,0.406,0.29507,0.423,0.052516058,0.046195595,0.041237976,0.035,0.06146,0.010570426,0.24973886,0.271254301,0.19,0.30638,0.050937688,2017,2017,2015,2019,1.58113883
Paraguay,64,64,53,70,6.964194139,5.67,5.68,5.49,5.88,0.16,0.855223463,0.855,0.75985,0.932537317,0.065125497,1.384032976,1.475,1.11111,1.522,0.175549495,0.643036139,0.615,0.579250693,0.777,0.08175153,0.505969558,0.514,0.46235,0.541,0.036532183,0.080289183,0.08,0.07396,0.091065913,0.007077682,0.233102132,0.224150658,0.162,0.3424,0.070510673,2017,2017,2015,2019,1.58113883
"Hong Kong S.A.R., China",71,71,71,71,,5.47,5.47,5.47,5.47,,1.551674843,1.551674843,1.551674843,1.551674843,,1.262790918,1.262790918,1.262790918,1.262790918,,0.943062425,0.943062425,0.943062425,0.943062425,,0.490968645,0.490968645,0.490968645,0.490968645,,0.293933749,0.293933749,0.293933749,0.293933749,,0.374465793,0.374465793,0.374465793,0.374465793,,2017,2017,2017,2017,
Mauritius,62.6,64,55,71,6.580273551,5.71,5.65,5.48,5.89,0.18,1.110145109,1.12,1.00761,1.189395547,0.067868067,1.148144198,1.20956099,0.75695,1.402,0.27606491,0.698279492,0.684,0.638007462,0.798,0.061706758,0.519071465,0.498,0.46145,0.584,0.051195077,0.055884311,0.05203,0.042181555,0.07521,0.012526647,0.31357675,0.360933751,0.215,0.37744,0.077249393,2017,2017,2015,2019,1.58113883
Moldova,60.2,56,52,71,8.288546314,5.76,5.84,5.53,5.9,0.17,0.671424126,0.685,0.59448,0.72887063,0.050066989,1.145485114,1.251825571,0.83132,1.328,0.214742839,0.61796304,0.61826,0.52309,0.739,0.07820998,0.25958581,0.245,0.232,0.32818,0.039024686,0.009054257,0.010091286,0,0.01903,0.008872705,0.194051825,0.19997,0.171,0.20951,0.017267094,2017,2017,2015,2019,1.58113883
Libya,68,68,63,72,3.391164992,5.6,5.57,5.53,5.75,0.1,1.065826613,1.06688,0.985,1.13145,0.056149768,1.215988866,1.303,0.95076,1.35756433,0.177059722,0.594601804,0.553,0.52016902,0.7038,0.087267641,0.440226646,0.41668,0.40672,0.496,0.038811477,0.121246042,0.11023,0.09261021,0.152,0.027026757,0.150978733,0.152073666,0.116,0.18295,0.027229441,2017,2017,2015,2019,1.58113883
Estonia,65.8,66,55,73,7.328028384,5.64,5.61,5.43,5.89,0.18,1.237851868,1.237,1.15174,1.32087934,0.066122146,1.36324222,1.4766711,1.05163,1.532,0.214422137,0.752151663,0.737,0.68098,0.874,0.07721651,0.478224286,0.47913143,0.41511,0.553,0.051764262,0.171055784,0.174,0.15184,0.18519,0.014382995,0.091784162,0.0868,0.08423,0.103,0.008539076,2017,2017,2015,2019,1.58113883
Hong Kong,74.75,75.5,72,76,1.892969449,5.45,5.44,5.43,5.47,0.02,1.434935,1.4215,1.38604,1.5107,0.054883375,1.1238475,1.16759,0.87021,1.29,0.199755303,1.0295125,1.02164,0.95277,1.122,0.070016857,0.5102175,0.502395,0.44,0.59608,0.066730306,0.3164275,0.303735,0.287,0.37124,0.038802695,0.3249375,0.32639,0.246,0.40097,0.084401172,2017,2017,2015,2019,1.825741858
Jamaica,65.2,65,56,76,9.311283478,5.66,5.71,5.31,5.89,0.25,0.855857862,0.831,0.81038,0.925579309,0.050768821,1.290791613,1.368218064,0.96372,1.493,0.22827725,0.689424477,0.68741,0.59469,0.831,0.088568977,0.495939448,0.49,0.43597,0.575,0.051044233,0.036039556,0.031,0.02299,0.055267781,0.013015983,0.174313667,0.2123,0.096,0.233818337,0.067016852,2017,2017,2015,2019,1.58113883
Kosovo,67.2,69,46,78,12.91123542,5.61,5.59,5.28,6.1,0.31,0.878282876,0.882,0.80148,0.951484382,0.055564753,1.014490701,1.137853503,0.66062,1.232,0.262301349,0.60975441,0.578,0.54,0.758,0.090803445,0.317747588,0.260287941,0.14396,0.489,0.145544619,0.039870324,0.04741,0.006,0.06547,0.024767935,0.28379029,0.27992,0.262,0.319931448,0.021750319,2017,2017,2015,2019,1.58113883
Turkey,75.2,76,69,79,3.962322551,5.42,5.39,5.33,5.5,0.07,1.151034875,1.16492,1.06098,1.198274374,0.053770873,1.180248635,1.337753177,0.87717,1.38,0.246778295,0.702101122,0.686,0.637605608,0.808,0.069869696,0.25735612,0.23889,0.195,0.324,0.053399205,0.119122316,0.109,0.09967158,0.15746,0.02313955,0.081058608,0.083,0.046693042,0.12253,0.034212337,2017,2017,2015,2019,1.58113883
Malaysia,53,47,35,80,17.8465683,5.9,6.01,5.34,6.32,0.37,1.209899084,1.221,1.12486,1.29121542,0.067235276,1.132825207,1.171,0.88025,1.284646034,0.164231546,0.692676886,0.669,0.618784428,0.828,0.086708922,0.437362996,0.402264982,0.356,0.53024,0.076944,0.068884142,0.065600708,0.024,0.10501,0.031260535,0.346619786,0.33075,0.26,0.41660893,0.068122042,2017,2017,2015,2019,1.58113883
Belarus,68.2,67,59,81,9.011104261,5.6,5.57,5.32,5.81,0.21,1.085019512,1.067,1.03192,1.15655756,0.055810289,1.338153043,1.444945216,1.04993,1.498,0.191832348,0.698766853,0.7,0.63104,0.789,0.06680224,0.301538052,0.295400262,0.235,0.37938,0.051640929,0.163556764,0.156313822,0.142,0.1909,0.019218675,0.120003502,0.11046,0.094,0.155137509,0.026171514,2017,2017,2015,2019,1.58113883
Croatia,74,75,62,82,7.38241153,5.46,5.43,5.29,5.76,0.19,1.152317247,1.155,1.08254,1.222556233,0.055610095,0.959862601,0.967983007,0.60809,1.266,0.266813896,0.769115704,0.737,0.701288521,0.914,0.088122099,0.285934459,0.25883,0.23907,0.38,0.056547163,0.033684622,0.039,0.022,0.04310311,0.009768568,0.145156595,0.12,0.05444,0.248002976,0.073585392,2017,2017,2015,2019,1.58113883
North Macedonia,84,84,84,84,,5.27,5.27,5.27,5.27,,0.983,0.983,0.983,0.983,,1.294,1.294,1.294,1.294,,0.838,0.838,0.838,0.838,,0.345,0.345,0.345,0.345,,0.034,0.034,0.034,0.034,,0.185,0.185,0.185,0.185,,2019,2019,2019,2019,
Romania,62.8,57,48,86,15.61089363,5.7,5.82,5.12,6.07,0.38,1.141766782,1.162,1.04345,1.217683911,0.065732745,1.043000258,1.15009129,0.72803,1.232,0.224754499,0.736215662,0.726,0.67602,0.825,0.061817585,0.432960748,0.457003742,0.35068,0.528,0.073414795,0.00473358,0.005,0.001,0.00679,0.002315382,0.114177984,0.12889,0.083,0.13748,0.026414443,2017,2017,2015,2019,1.58113883
Serbia,78.8,78,70,87,7.596051606,5.34,5.39,5.12,5.6,0.19,1.000643516,1.004,0.92053,1.069317579,0.056878454,1.166623959,1.258189797,0.81329,1.383,0.247814349,0.716788934,0.685,0.6458,0.854,0.086934079,0.227393106,0.208715528,0.15718,0.288,0.056184399,0.038492756,0.040903781,0.02617,0.04339,0.007110185,0.178161177,0.19231,0.134,0.220125884,0.040183433,2017,2017,2015,2019,1.58113883
Turkmenistan,69.8,68,59,87,10.47377678,5.58,5.64,5.25,5.82,0.21,1.047483353,1.052,0.95847,1.130776763,0.065079159,1.365799832,1.493149161,1.03817,1.538,0.223898571,0.518129216,0.517,0.43772608,0.657,0.089827059,0.415890386,0.417,0.37408,0.4761,0.038273352,0.183476068,0.25927034,0.028,0.30844,0.138950543,0.217676998,0.22567,0.16979,0.249924988,0.033311845,2017,2017,2015,2019,1.58113883
Algeria,66.2,68,38,88,21.00476136,5.67,5.61,5.21,6.36,0.47,1.012962893,1.002,0.93929,1.091864467,0.06021353,1.074205493,1.146217465,0.83309,1.16,0.138800772,0.665056929,0.61804,0.617584646,0.785,0.07344814,0.178437162,0.21006,0.077,0.28579,0.092699277,0.146099222,0.14609611,0.114,0.17383,0.023248085,0.069219329,0.07044,0.055,0.07822,0.008646273,2017,2017,2015,2019,1.58113883
Montenegro,81.4,82,73,88,5.412947441,5.29,5.24,5.16,5.52,0.15,1.048377807,1.051,0.97438,1.121129036,0.056258313,1.1051353,1.238376498,0.74173,1.361,0.267085481,0.725600935,0.72521,0.63533,0.871,0.090389796,0.196939811,0.194989055,0.15111,0.259,0.039246904,0.103868839,0.088174194,0.08,0.14296,0.029205975,0.156844205,0.1614,0.111,0.197911024,0.032620004,2017,2017,2015,2019,1.58113883
Latvia,63.4,54,53,89,15.66205606,5.68,5.85,5.1,5.94,0.36,1.185349725,1.187,1.11312,1.260748625,0.057788562,1.273916988,1.404714942,0.95025,1.465,0.235902972,0.697091394,0.671,0.638566971,0.812,0.073089747,0.305875582,0.29671,0.264,0.363,0.039261018,0.071212545,0.066,0.06332,0.0889,0.010738338,0.135356957,0.153074786,0.075,0.18226,0.048900079,2017,2017,2015,2019,1.58113883
Azerbaijan,84.6,85,80,90,4.159326869,5.23,5.21,5.2,5.29,0.04,1.073644353,1.043,1.02389,1.153601766,0.060788349,1.031750051,1.147,0.76042,1.161,0.178161984,0.619653155,0.603,0.540775776,0.769,0.093277918,0.380545168,0.3703,0.351,0.43,0.033457926,0.175755501,0.17914,0.16065,0.182,0.008747263,0.049131868,0.04526934,0.031,0.07799,0.018901131,2017,2017,2015,2019,1.58113883
Philippines,76.8,72,69,90,8.927485648,5.39,5.43,5.07,5.63,0.22,0.791437843,0.807,0.70532,0.857699215,0.056455864,1.154569515,1.253917575,0.87877,1.312,0.189829791,0.537901811,0.513,0.468009055,0.657,0.080809828,0.592040935,0.585214674,0.54854,0.643,0.041263502,0.110338379,0.107,0.099331893,0.12279,0.009593292,0.179432685,0.193513423,0.117,0.24991,0.059133829,2017,2017,2015,2019,1.58113883
Somaliland region,91,91,91,91,,5.06,5.06,5.06,5.06,,0.18847,0.18847,0.18847,0.18847,,0.95152,0.95152,0.95152,0.95152,,0.43873,0.43873,0.43873,0.43873,,0.46582,0.46582,0.46582,0.46582,,0.39928,0.39928,0.39928,0.39928,,0.50318,0.50318,0.50318,0.50318,,2015,2015,2015,2015,
Morocco,88,89,84,92,3.391164992,5.17,5.21,5.01,5.25,0.1,0.806696916,0.801,0.73479,0.878114581,0.055269171,0.676152887,0.774864435,0.38595,0.797,0.173931427,0.650592134,0.60954,0.59471,0.782,0.079390517,0.391905666,0.41691,0.25646,0.46,0.078346421,0.081452637,0.08404,0.074,0.087763183,0.006079668,0.041291991,0.036,0.026,0.07172,0.017823986,2017,2017,2015,2019,1.58113883
Pakistan,79,80,67,92,9.137833441,5.34,5.27,5.13,5.65,0.22,0.667894706,0.677,0.59543,0.726883531,0.048675058,0.608830138,0.67269069,0.26135,0.886,0.264588829,0.455753557,0.424,0.402047783,0.535,0.064068669,0.229891052,0.235215262,0.12102,0.334,0.095692043,0.115757613,0.113,0.098,0.1388,0.016211771,0.280001204,0.31185,0.216,0.33671,0.057408333,2017,2017,2015,2019,1.58113883
China,85,84,79,93,5.14781507,5.22,5.25,5.14,5.27,0.05,1.003417158,1.0278,0.89012,1.081165791,0.071305601,1.033679482,1.125,0.79381,1.160837412,0.15916659,0.7971211,0.799,0.73561,0.893,0.064151523,0.509575542,0.51697,0.44012,0.597,0.059172733,0.056210855,0.02781,0.022794275,0.103,0.041404035,0.049449368,0.04959,0.028806841,0.08185,0.022176703,2017,2017,2015,2019,1.58113883
Portugal,82.8,88,66,94,11.25610945,5.3,5.2,5.1,5.69,0.25,1.232031059,1.221,1.15991,1.315175295,0.063470973,1.262012604,1.367043018,0.94367,1.431,0.214395106,0.869532708,0.87519,0.79363,0.999,0.083955943,0.50608506,0.508,0.44727,0.562,0.040992269,0.01677189,0.015869452,0.01078,0.025,0.005169876,0.090240543,0.095102713,0.047,0.13719,0.03889342,2017,2017,2015,2019,1.58113883
Macedonia,92.25,92.5,89,95,2.5,5.12,5.15,5.01,5.19,0.08,0.990346984,0.98915,0.91851,1.064577937,0.064528281,1.057893253,1.105106507,0.78236,1.239,0.211586501,0.679694546,0.66919,0.644948184,0.73545,0.042770798,0.332788995,0.330237989,0.27668,0.394,0.048116367,0.059004448,0.056773897,0.052,0.07047,0.008466138,0.221355241,0.22933,0.173,0.253760964,0.034551647,2016.5,2016.5,2015,2018,1.290994449
Bosnia and Herzegovina,88.8,90,78,96,6.90651866,5.16,5.16,4.95,5.39,0.16,0.921693884,0.93383,0.83223,0.982409418,0.055734709,0.984433188,1.069335938,0.64367,1.212,0.216869787,0.761331261,0.758,0.705186307,0.845,0.058977562,0.176792635,0.204403177,0.09245,0.28,0.081300974,0.001654,0,0,0.006,0.002620798,0.270967499,0.263,0.216,0.328867495,0.043990966,2017,2017,2015,2019,1.58113883
Indonesia,84.4,81,74,96,9.235799911,5.25,5.26,5.09,5.4,0.12,0.920969718,0.931,0.82827,0.995538592,0.062532495,1.13115494,1.203,0.87625,1.274444699,0.157831232,0.561203144,0.522,0.492345721,0.66,0.08135929,0.466160693,0.46611,0.39237,0.538,0.054185988,0.012907427,0.015317135,0,0.028,0.011401477,0.534852918,0.51535,0.484,0.611704588,0.052802112,2017,2017,2015,2019,1.58113883
Vietnam,90.8,94,75,96,8.871302046,5.15,5.1,5.06,5.36,0.12,0.723415515,0.74037,0.63216,0.788547575,0.057526611,1.138384266,1.277491331,0.79117,1.365,0.267160855,0.722699798,0.702,0.652168989,0.851,0.08090081,0.577207118,0.571055591,0.543,0.618,0.029500537,0.091920647,0.087633237,0.073,0.11556,0.017734985,0.19566361,0.177,0.147,0.25075,0.044800295,2017,2017,2015,2019,1.58113883
Bhutan,90.4,95,79,97,8.35463943,5.12,5.08,5.01,5.25,0.1,0.823507278,0.813,0.77042,0.885416389,0.045744577,1.201687303,1.321,0.90836,1.340126514,0.191550709,0.539707858,0.527,0.495879292,0.604,0.047881581,0.498467536,0.501537681,0.457,0.541,0.039018628,0.165486078,0.167,0.15445,0.17338039,0.00761433,0.434698909,0.474054545,0.364,0.48546,0.06196817,2017,2017,2015,2019,1.58113883
Somaliland Region,97,97,97,97,,5.06,5.06,5.06,5.06,,0.25558,0.25558,0.25558,0.25558,,0.75862,0.75862,0.75862,0.75862,,0.33108,0.33108,0.33108,0.33108,,0.3913,0.3913,0.3913,0.3913,,0.36794,0.36794,0.36794,0.36794,,0.51479,0.51479,0.51479,0.51479,,2016,2016,2016,2016,
Dominican Republic,86.6,86,77,98,7.765307463,5.2,5.23,4.89,5.43,0.2,0.999922767,1.015,0.89537,1.079373837,0.068142039,1.282279341,1.401,0.99496,1.441,0.192632652,0.642562749,0.614,0.574873745,0.779,0.085164267,0.545379967,0.552589834,0.497,0.578,0.035207422,0.117401051,0.113945253,0.101,0.14234,0.016376823,0.16993357,0.18696785,0.113,0.21684,0.050169341,2017,2017,2015,2019,1.58113883
Kyrgyzstan,87.6,86,77,98,7.893034904,5.17,5.19,5,5.29,0.11,0.542388015,0.551,0.47428,0.596220076,0.04497248,1.270745718,1.394238591,0.95434,1.438,0.21138768,0.615165559,0.594,0.553457797,0.723,0.072182304,0.467966678,0.454943389,0.40212,0.54,0.055675122,0.037475836,0.039439179,0.023,0.04762,0.009299251,0.338840075,0.3003,0.281,0.428580374,0.064150424,2017,2017,2015,2019,1.58113883
Jordan,85.4,82,74,101,10.43072385,5.18,5.19,4.91,5.34,0.17,0.909744479,0.90198,0.822,0.99673,0.082495598,1.129033779,1.225,0.86216,1.265,0.170786527,0.673620012,0.645,0.604590058,0.815,0.087340232,0.40725223,0.40661,0.36023,0.468,0.040665432,0.131940654,0.13297,0.119803272,0.14293,0.008323887,0.133064092,0.13,0.11,0.17217046,0.02583481,2017,2017,2015,2019,1.58113883
Mongolia,95.6,100,83,101,7.569676347,5.03,4.95,4.87,5.29,0.17,0.941191173,0.948,0.82819,1.027235866,0.076157138,1.386288247,1.493011236,1.08983,1.531,0.190162311,0.591430697,0.575,0.55469,0.667,0.046339098,0.380424794,0.394143969,0.317,0.43626,0.044636352,0.032482458,0.03285,0.02666,0.038,0.004027667,0.300830846,0.3323,0.235,0.34539,0.052472821,2017,2017,2015,2019,1.58113883
Greece,89.8,87,79,102,10.23230179,5.15,5.23,4.86,5.36,0.2,1.205481496,1.181,1.154,1.289487481,0.060894496,1.056294915,1.156,0.75473,1.239414573,0.207222931,0.874123781,0.879,0.80029,0.999,0.079403659,0.08578825,0.07699,0.05822,0.131,0.028867722,0.035305955,0.04127,0.01397,0.044,0.012568076,0,0,0,0,0,2017,2017,2015,2019,1.58113883
Lebanon,91,91,80,103,8.336666,5.15,5.2,4.84,5.36,0.19,1.035061506,1.02564,0.965,1.12268,0.064378521,0.99489485,1.129624248,0.64184,1.224,0.258439412,0.787252215,0.785,0.735081077,0.83947,0.041460649,0.321791197,0.288515985,0.216,0.503,0.110655891,0.055388766,0.03751383,0.027,0.136,0.045632102,0.219984152,0.21854,0.166,0.264450759,0.036113104,2017,2017,2015,2019,1.58113883
Nigeria,90.4,91,78,103,9.5289034,5.13,5.16,4.88,5.27,0.16,0.715053251,0.696,0.65435,0.783756256,0.052018498,1.009614097,1.111,0.64498,1.215770483,0.236216855,0.112213146,0.05691573,0.048,0.245,0.087808059,0.380966513,0.394952565,0.27854,0.462,0.071932252,0.033984313,0.032,0.026121566,0.041,0.006461588,0.230293439,0.230947196,0.201,0.27233,0.026753933,2017,2017,2015,2019,1.58113883
Hungary,80.2,75,62,104,17.07922715,5.33,5.32,4.8,5.76,0.38,1.204074387,1.201,1.12094,1.286011934,0.063488483,1.257584618,1.343133092,0.93164,1.41,0.200268478,0.736578691,0.732,0.67608,0.828,0.06108764,0.230536704,0.199,0.175863519,0.32112,0.059324242,0.030187387,0.02758,0.02,0.04472,0.01037314,0.089480332,0.081,0.061,0.128,0.025397693,2017,2017,2015,2019,1.58113883
Honduras,86.2,91,59,105,20.21633003,5.24,5.18,4.79,5.86,0.45,0.656436624,0.642,0.59532,0.730573118,0.055227672,1.058876996,1.143944979,0.75596,1.236,0.201759935,0.662299896,0.622,0.58256948,0.828,0.1032847,0.396621972,0.40148,0.26755,0.507,0.093693434,0.072531091,0.073345453,0.06825,0.078,0.003971966,0.222771775,0.23027,0.197,0.246,0.021080197,2017,2017,2015,2019,1.58113883
Tajikistan,92.8,96,74,106,12.37739876,5.1,5.04,4.79,5.47,0.25,0.474106727,0.48835,0.39047,0.524713635,0.050289162,1.029422655,1.098,0.75602,1.271463275,0.21615549,0.590043025,0.57379,0.529235125,0.718,0.07723623,0.411761341,0.43408,0.292,0.47216,0.075139304,0.122037429,0.144,0.034,0.15072,0.049543982,0.231143529,0.23,0.187,0.25998,0.027848879,2017,2017,2015,2019,1.58113883
Venezuela,71.8,82,23,108,37.01621266,5.53,5.25,4.71,6.81,0.9,1.05246824,1.04424,0.96,1.13367,0.077734868,1.323263519,1.427,1.03302,1.469,0.181969399,0.683740845,0.657,0.617144227,0.805,0.079675703,0.213709425,0.154,0.133,0.42908,0.1227411,0.071444225,0.064491123,0.047,0.11069,0.025974201,0.057185926,0.05841,0.0425,0.06501963,0.009032991,2017,2017,2015,2019,1.58113883
Laos,104,103.5,99,110,4.69041576,4.79,4.84,4.62,4.88,0.12,0.68877,0.70021,0.59066,0.764,0.073779311,0.8379325,0.884015,0.5497,1.034,0.236918321,0.481,0.495045,0.38291,0.551,0.083182322,0.5726475,0.571455,0.52168,0.626,0.047057105,0.20118,0.199115,0.164,0.24249,0.038117902,0.3371775,0.34396,0.23,0.43079,0.104079848,2017,2017,2015,2019,1.825741858
Palestinian Territories,106.6,108,103,110,2.966479395,4.74,4.74,4.7,4.78,0.03,0.656831846,0.657,0.59867,0.716249228,0.042758087,1.052303432,1.155647159,0.71629,1.247,0.226205379,0.613651395,0.602,0.565666974,0.672,0.050122375,0.233628212,0.24499,0.17744,0.266,0.034831992,0.09329252,0.089282602,0.066,0.12905,0.025016947,0.105444635,0.11154,0.086,0.114173174,0.011697546,2017,2017,2015,2019,1.58113883
Albania,106.4,109,95,112,6.618156843,4.71,4.66,4.59,4.96,0.15,0.938632551,0.947,0.87867,0.996192753,0.044070213,0.75493105,0.80434,0.50163,0.848,0.142735789,0.787695949,0.79,0.73007,0.874,0.060464451,0.371897727,0.381498635,0.31866,0.419,0.037015322,0.043200843,0.039864216,0.027,0.06413,0.015275049,0.167886589,0.1684,0.14272,0.201312944,0.023504927,2017,2017,2015,2019,1.58113883
Somalia,94.75,95.5,76,112,14.86326568,5.06,5.07,4.67,5.44,0.32,0.005660796,0,0,0.022643184,0.011321592,0.616820338,0.705,0.33613,0.721151352,0.187368916,0.152912284,0.11483,0.113989137,0.268,0.076726293,0.600726739,0.584953478,0.559,0.674,0.052273447,0.286552581,0.282205162,0.27,0.3118,0.017788614,0.261220328,0.257625,0.238,0.291631311,0.025282705,2017.5,2017.5,2016,2019,1.290994449
