,Country Name,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],Workforce Ratio Five Year Average,Workforce Ratio Five Year Median,Workforce Ratio Five Year Max,Workforce Ratio Five Year Min,Workforce Ratio Five Year STD
0,Afghanistan,24.6200697,26.28406357,28.06315569,28.66665795,28.92523258,27.311835898000005,28.06315569,28.92523258,24.6200697,1.8238005852356052
1,Albania,72.22622571,72.14904396,72.17107052,72.3054825,72.34543617,72.23945177200001,72.22622571,72.34543617,72.14904396,0.08458316391483368
2,Algeria,22.52046513,22.26155344,21.91602675,21.55949698,21.64708289,21.980925038000002,21.91602675,22.52046513,21.55949698,0.4071608363167684
5,Angola,96.15700552,96.17975873,96.28055555,96.40545901,96.48093425,96.30074261200001,96.28055555,96.48093425,96.15700552,0.14065873524937675
7,Arab World,31.20387003,31.57098287,31.09019287,31.05393616,31.09521291,31.202838968000002,31.09521291,31.57098287,31.05393616,0.21329296381629936
8,Argentina,65.75282141,66.81713341,67.87933427,69.79893571,69.7387575,67.99739646,67.87933427,69.79893571,65.75282141,1.783462828593988
9,Armenia,73.43237389,71.27463405,71.57454161,71.49364175,71.44656847,71.84435195399999,71.49364175,73.43237389,71.27463405,0.8944857640591072
11,Australia,83.07483474,83.88524195,84.44535439,84.99640991,85.10337503,84.301043204,84.44535439,85.10337503,83.07483474,0.8403235706029728
12,Austria,82.63907146,82.95883026,82.9182601,82.52897869,82.70469969,82.74996804,82.70469969,82.95883026,82.52897869,0.18379962743651856
13,Azerbaijan,91.02252306,90.32887272,90.35343233,90.71463859,90.92877489,90.669648318,90.71463859,91.02252306,90.32887272,0.3200827423072576
14,"Bahamas, The",83.72189984,83.36247549,83.41777916,83.55800072,83.45815504,83.50366205,83.45815504,83.72189984,83.36247549,0.14138672809000144
15,Bahrain,50.34886753,50.53768172,50.86752229,51.38920405,51.57500772,50.943656661999995,50.86752229,51.57500772,50.34886753,0.529505156034479
16,Bangladesh,40.26744449,41.19002783,44.03890553,44.32290128,44.56406794,42.876669414,44.03890553,44.56406794,40.26744449,1.9964034989210238
17,Barbados,88.54446269,88.89792125,89.17858114,89.22705108,89.30789193,89.031181618,89.17858114,89.30789193,88.54446269,0.31277535970329245
18,Belarus,82.60262821,82.67163615,82.00529564,80.60187729,80.46098301,81.66848406,82.00529564,82.67163615,80.46098301,1.07099139079565
19,Belgium,81.19842662,81.01012131,81.02318996,82.53604436,82.80890752,81.71533795399999,81.19842662,82.80890752,81.01012131,0.8821918850682922
20,Belize,60.48455165,62.13617533,61.2567138,61.58081508,61.91332989,61.474317150000005,61.58081508,62.13617533,60.48455165,0.6459715954148019
21,Benin,93.26220906,93.47526237,93.74692439,94.06355672,94.2794857,93.765487648,93.74692439,94.2794857,93.26220906,0.41560311982098724
23,Bhutan,80.23696688,80.42114769,80.40444929,80.22404909,80.14759734,80.286842058,80.23696688,80.42114769,80.14759734,0.12009271991601042
24,Bolivia,68.30431088,72.46457892,74.68654828,78.62087257,78.46612261,74.50848665200002,74.68654828,78.62087257,68.30431088,4.338077399170815
25,Bosnia and Herzegovina,62.29572737,60.74434625,62.12833985,60.94505945,60.95952025,61.414598634,60.95952025,62.29572737,60.74434625,0.735291780855608
26,Botswana,83.61342003,83.9731884,84.39917368,84.93254234,85.01521206,84.386707302,84.39917368,85.01521206,83.61342003,0.604582628237452
27,Brazil,70.80484839,71.18428623,72.65480384,73.18084815,73.15322407,72.195602136,72.65480384,73.18084815,70.80484839,1.1242299058999132
29,Brunei Darussalam,79.37272406,80.17476291,80.98286485,81.17487633,81.35805436,80.612656502,80.98286485,81.35805436,79.37272406,0.8273370808314745
30,Bulgaria,80.86694773,80.1456799,80.32351455,79.47771699,79.43951899,80.05067563200001,80.1456799,80.86694773,79.43951899,0.602403741395702
31,Burkina Faso,77.31225802,77.50331772,77.72218552,77.97577628,77.92478746,77.687665,77.72218552,77.97577628,77.31225802,0.2807762264138844
32,Burundi,103.7991606,103.606476,103.4702455,103.3932479,103.3603591,103.52589782,103.4702455,103.7991606,103.3603591,0.17976487410090966
33,Cabo Verde,74.55877563,76.18292933,77.82904902,78.62965572,78.95967678,77.23201729600001,77.82904902,78.95967678,74.55877563,1.8399357258884914
34,Cambodia,85.46562871,86.29148253,86.13215099,85.99905379,85.86040263,85.94974373,85.99905379,86.29148253,85.46562871,0.3141808725408645
35,Cameroon,87.18423892,87.3415287,87.53763946,87.77556699,87.6794119,87.503677194,87.53763946,87.77556699,87.18423892,0.24201917722375524
36,Canada,86.29511773,86.77436275,87.1694732,87.55096568,87.6321643,87.084416732,87.1694732,87.6321643,86.29511773,0.5576863608227104
37,Caribbean small states,74.33877005,75.72065712,76.19098648,76.01456715,76.22056777,75.69710971399999,76.01456715,76.22056777,74.33877005,0.7849112916729193
39,Central African Republic,79.68664867,80.0133738,80.40995465,80.86426684,80.77617536,80.350083864,80.40995465,80.86426684,79.68664867,0.5007600549726129
40,Central Europe and the Baltics,75.27502525,75.13246068,75.25170959,75.21488209,75.2051556,75.215846642,75.21488209,75.27502525,75.13246068,0.05444425149256227
41,Chad,81.62897612,81.82132881,82.07609512,82.4000823,82.45838351,82.076973172,82.07609512,82.45838351,81.62897612,0.35914117138271134
42,Channel Islands,75.92311012,76.6412925,76.83983966,76.8495141,76.95983383,76.642718042,76.83983966,76.95983383,75.92311012,0.41833645503986255
43,Chile,67.06077833,67.86965054,68.77931544,69.87084299,70.02095492,68.72030844400001,68.77931544,70.02095492,67.06077833,1.2744167186950754
44,China,81.28064075,81.12692159,80.92009963,80.66455058,80.30793972,80.860030454,80.92009963,81.28064075,80.30793972,0.3856062645982364
45,Colombia,71.2868177,71.27171623,71.29328587,70.75058447,70.8869975,71.09788035400001,71.27171623,71.29328587,70.75058447,0.2594154762807903
46,Comoros,71.63840849,71.98572898,72.44944825,72.99686713,73.24550127,72.46319082400001,72.44944825,73.24550127,71.63840849,0.6717969564535542
47,"Congo, Dem. Rep.",91.46503713,91.44530427,91.55026784,91.77901248,91.64063124,91.576050592,91.55026784,91.77901248,91.44530427,0.13733856690590926
48,"Congo, Rep.",94.07864269,94.11069337,94.21585523,94.49957086,94.58792392,94.29853721399999,94.21585523,94.58792392,94.07864269,0.23164326793889406
49,Costa Rica,64.05834832,60.61298155,60.75137465,62.80112824,63.1451226,62.273791071999995,62.80112824,64.05834832,60.61298155,1.524630096299716
50,Cote d'Ivoire,71.09078497,72.19706805,72.68523638,73.20044562,73.47726705,72.530160414,72.68523638,73.47726705,71.09078497,0.9424826237541228
51,Croatia,78.66450198,78.09360515,77.76427294,78.78714397,79.05026582,78.471957972,78.66450198,79.05026582,77.76427294,0.5279262111892546
52,Cuba,61.91881489,61.83504935,61.35076016,61.14020573,60.91628666,61.432223358,61.35076016,61.91881489,60.91628666,0.43506934012843596
54,Cyprus,85.84288464,85.00753415,84.99160833,84.30475812,84.62089737,84.953536522,84.99160833,85.84288464,84.30475812,0.5759486743037743
55,Czech Republic,75.34910809,75.87026171,76.42122587,77.01945529,77.22909766,76.377829724,76.42122587,77.22909766,75.34910809,0.7832811086049656
56,Denmark,86.85731195,88.00202068,87.97595639,87.870523,87.87508166,87.716178736,87.87508166,88.00202068,86.85731195,0.4837133690644883
57,Djibouti,72.49676741,72.71049434,73.11253782,73.61720684,73.71496572,73.130394426,73.11253782,73.71496572,72.49676741,0.5377797086630917
59,Dominican Republic,63.58241551,64.58207753,65.02998854,66.15757907,66.41699739,65.153811608,65.02998854,66.41699739,63.58241551,1.1634738010094974
60,Early-demographic dividend,45.28404961,45.47302002,45.6624339,45.97362544,46.02706912,45.684039618,45.6624339,46.02706912,45.28404961,0.31879353500188923
61,East Asia & Pacific,77.71580547,77.68475708,77.60404076,77.6540029,77.4378821,77.61929766200001,77.6540029,77.71580547,77.4378821,0.10948461666932431
62,East Asia & Pacific (excluding high income),78.25132676,78.14524883,77.96586992,77.92039164,77.66206371,77.988980172,77.96586992,78.25132676,77.66206371,0.2265824735633682
63,East Asia & Pacific (IDA & IBRD),78.16828044,78.06106983,77.87988204,77.83445802,77.57315317,77.9033687,77.87988204,78.16828044,77.57315317,0.22879602141553138
64,Ecuador,64.34204462,68.54102402,69.10955673,67.94103764,68.10746862,67.608226326,68.10746862,69.10955673,64.34204462,1.8809607714782617
65,"Egypt, Arab Rep.",30.6104358,31.3601247,30.75524187,30.76770946,30.95345626,30.889393617999996,30.76770946,31.3601247,30.6104358,0.2899624819195823
66,El Salvador,59.98405813,60.69642346,59.80383223,59.69649476,59.8362833,60.003418376,59.8362833,60.69642346,59.69649476,0.4008122175465093
67,Equatorial Guinea,81.01025088,81.34624055,81.68527418,81.81790672,81.66475798,81.504886062,81.66475798,81.81790672,81.01025088,0.32631012754940786
68,Eritrea,83.15374825,83.33953938,83.44271049,83.55279725,83.6032015,83.418399374,83.44271049,83.6032015,83.15374825,0.17962792189463053
69,Estonia,80.54405038,79.91509147,79.96585839,80.46386062,80.41628913,80.261029998,80.41628913,80.54405038,79.91509147,0.29670942824666396
70,Eswatini,83.34900768,84.51868596,85.15192236,85.45914349,85.46495504,84.78874290600001,85.15192236,85.46495504,83.34900768,0.8922397917701615
71,Ethiopia,84.23610166,84.64585405,85.07608851,85.49522783,85.64049238,85.018752886,85.07608851,85.64049238,84.23610166,0.5849085885606627
72,Euro area,79.85360357,80.27112899,80.42580532,80.56377278,80.77859069,80.37858027,80.42580532,80.77859069,79.85360357,0.3477359344145722
73,Europe & Central Asia,76.17652785,76.29768781,76.37539075,76.48745538,76.51851716,76.37111579,76.37539075,76.51851716,76.17652785,0.14012179880604897
74,Europe & Central Asia (excluding high income),71.07724862,70.93813643,70.79790086,70.82930825,70.64423282,70.857365396,70.82930825,71.07724862,70.64423282,0.16172609681636346
75,Europe & Central Asia (IDA & IBRD),71.43231785,71.25440288,71.14820475,71.17718243,71.00035923,71.202493428,71.17718243,71.43231785,71.00035923,0.15808225496116113
76,European Union,79.13329483,79.42004942,79.55892488,79.68426744,79.86049989,79.531407292,79.55892488,79.86049989,79.13329483,0.27537224288696105
78,Fiji,52.03592958,49.96764143,49.97531952,49.98826653,50.31318818,50.456069048,49.98826653,52.03592958,49.96764143,0.8951110385807284
79,Finland,89.1508845,88.37882273,88.18513091,88.44671103,88.48071762,88.52845335800001,88.44671103,89.1508845,88.18513091,0.36627880894787057
80,Fragile and conflict affected situations,71.09955455,71.00288221,70.96885643,71.15140046,71.08504195,71.06154712,71.08504195,71.15140046,70.96885643,0.07433594379416034
81,France,83.73865881,84.0820242,83.88065452,84.43448268,84.71939439,84.17104292,84.0820242,84.71939439,83.73865881,0.40289440792393577
82,French Polynesia,77.89547965,78.12611211,78.16004308,78.33775541,78.64181391,78.23224083199999,78.16004308,78.64181391,77.89547965,0.27783418936577803
83,Gabon,71.18893333,70.73538049,70.3002056,69.9544485,70.39283368,70.51436032,70.39283368,71.18893333,69.9544485,0.46851650874621503
84,"Gambia, The",74.69897789,74.72870237,74.88259792,75.12859207,75.27541521,74.942857092,74.88259792,75.27541521,74.69897789,0.25202324388513764
85,Georgia,72.99331328,71.04521854,71.07571076,71.11237947,71.03202324,71.451729058,71.07571076,72.99331328,71.03202324,0.862327314848254
86,Germany,82.21952871,82.67498257,82.9722013,82.85950124,83.03913393,82.75306954999999,82.85950124,83.03913393,82.21952871,0.3286117246814712
87,Ghana,87.64922475,87.89420085,88.28144664,88.66445236,88.50760546,88.19938601199999,88.28144664,88.66445236,87.64922475,0.4224438661365628
89,Greece,74.81606698,75.24603775,74.61728184,73.72861479,73.88547778,74.45869582799999,74.61728184,75.24603775,73.72861479,0.6392120575799982
92,Guam,69.34997723,69.22926301,69.02413626,68.84274767,68.67056317,69.023337468,69.02413626,69.34997723,68.67056317,0.2766594845234588
93,Guatemala,45.69617725,47.84124726,45.96776224,46.22466893,46.22618669,46.391208474,46.22466893,47.84124726,45.69617725,0.8396361124377567
94,Guinea,101.0750611,102.1134708,103.23299,104.1735985,104.1425121,102.94752650000001,103.23299,104.1735985,101.0750611,1.3429918212821759
95,Guinea-Bissau,83.20814982,83.28913309,83.41375884,83.57248705,83.70309993,83.43732574600001,83.41375884,83.70309993,83.20814982,0.2024491061900162
96,Guyana,60.52236823,62.02883717,63.54071511,63.86876017,64.17285198,62.826706532,63.54071511,64.17285198,60.52236823,1.5292450858168787
97,Haiti,84.99951158,84.95957209,84.87537662,84.88540679,84.99409806,84.942793028,84.95957209,84.99951158,84.87537662,0.05909502887407838
98,Heavily indebted poor countries (HIPC),81.46484012,81.86074971,82.20827295,82.65781208,82.68267235,82.174869442,82.20827295,82.68267235,81.46484012,0.5232174556171395
99,High income,77.04223875,77.37726661,77.79167932,78.08992666,78.1479786,77.689817988,77.79167932,78.1479786,77.04223875,0.473661551145171
100,Honduras,56.65326058,56.88357494,55.03407269,60.30456028,60.50135386,57.87536447000001,56.88357494,60.50135386,55.03407269,2.415933356312857
101,"Hong Kong SAR, China",79.2101468,79.37367733,79.79375428,79.94223767,79.96800055,79.657563326,79.79375428,79.96800055,79.2101468,0.34522874105109586
102,Hungary,74.56699239,74.26452608,73.88288292,73.71920819,73.99508876,74.085739668,73.99508876,74.56699239,73.71920819,0.33439592373541993
103,IBRD only,62.68263895,62.59801989,62.50944173,62.49049301,62.20706658,62.497532032,62.50944173,62.68263895,62.20706658,0.17952990575362154
104,Iceland,90.30241802,88.88916382,89.31508814,89.34391349,89.42379556,89.45487580599999,89.34391349,90.30241802,88.88916382,0.5174884212340727
105,IDA & IBRD total,64.18397975,64.18104042,64.21067733,64.2792181,64.11314025,64.19361117,64.18397975,64.2792181,64.11314025,0.05988772255979181
106,IDA blend,63.15014484,62.76000651,62.61603755,62.55559452,62.57666108,62.73168890000001,62.61603755,63.15014484,62.55559452,0.24714638939086123
107,IDA only,72.68772571,73.135847,73.63963972,74.02304069,74.16006374,73.529263372,73.63963972,74.16006374,72.68772571,0.6158064145005524
108,IDA total,69.73687838,69.93511907,70.25708589,70.51334225,70.61905754,70.21229662599998,70.25708589,70.61905754,69.73687838,0.37447926953209953
109,India,27.86624335,27.61919672,27.39577741,27.19370754,26.97651164,27.410287331999996,27.39577741,27.86624335,26.97651164,0.3488616193615468
110,Indonesia,61.47429584,62.24134611,63.46848124,64.62031957,64.82261763,63.325412078,63.46848124,64.82261763,61.47429584,1.461224573128287
111,"Iran, Islamic Rep.",21.21225299,23.52534078,25.02903201,24.6625123,24.52977906,23.791783428,24.52977906,25.02903201,21.21225299,1.545845993322767
112,Iraq,19.08606834,19.87029115,15.26478947,15.38160912,15.65312407,17.05117643,15.65312407,19.87029115,15.26478947,2.237262650242723
113,Ireland,79.31803801,80.40539529,81.06929791,81.63170124,81.87376775,80.85964004,81.06929791,81.87376775,79.31803801,1.030941928892083
115,Israel,84.86073238,85.68603549,85.5489419,86.98059238,87.08331998,86.031924426,85.68603549,87.08331998,84.86073238,0.9656611184830493
116,Italy,67.28935367,67.99553013,68.67793144,68.90354874,69.08655988,68.390584772,68.67793144,69.08655988,67.28935367,0.7414276096171661
117,Jamaica,80.196319,81.94552093,82.83946641,82.31853845,82.49434175,81.958837308,82.31853845,82.83946641,80.196319,1.036617775050836
118,Japan,70.45862847,71.32665607,72.46148412,73.73752692,73.98709297,72.39427771,72.46148412,73.98709297,70.45862847,1.5192473087608611
119,Jordan,21.86507811,22.00275003,22.20277543,22.45469126,22.569106,22.218880166,22.20277543,22.569106,21.86507811,0.295978250845104
120,Kazakhstan,84.87472263,84.0543922,83.18175697,83.11657142,82.98137112,83.641762868,83.18175697,84.87472263,82.98137112,0.8083936980845811
121,Kenya,91.04287704,91.53975256,92.35336592,93.21954548,93.25489329,92.28208685799999,92.35336592,93.25489329,91.04287704,0.9895659288037687
123,"Korea, Dem. People's Rep.",83.96987128,83.91564451,83.83124302,83.75900311,83.67438157,83.83002869799999,83.83124302,83.96987128,83.67438157,0.11848855660797533
124,"Korea, Rep.",70.79627563,71.19473142,71.80820197,72.4092176,72.35369783,71.71242489,71.80820197,72.4092176,70.79627563,0.7094470221267267
126,Kuwait,57.37699166,57.17592712,57.24989406,56.95609847,56.77278324,57.10633891,57.17592712,57.37699166,56.77278324,0.2411094595539705
127,Kyrgyz Republic,66.05674474,64.0821492,61.22916425,59.46067503,59.11137677,61.988021998,61.22916425,66.05674474,59.11137677,3.007420366175885
128,Lao PDR,95.71852723,95.68952511,95.66414986,95.64327569,95.67527177,95.678149932,95.67527177,95.71852723,95.64327569,0.028196717255256812
129,Late-demographic dividend,78.38676948,78.29476763,78.25191221,78.12841944,77.87295815,78.186965382,78.25191221,78.38676948,77.87295815,0.19861348254315123
130,Latin America & Caribbean,66.61968282,67.12903532,67.6623185,68.2545198,68.32355832,67.597822952,67.6623185,68.32355832,66.61968282,0.7312014448830446
131,Latin America & Caribbean (excluding high income),66.54672367,67.04300187,67.57350551,68.14458528,68.21018762,67.50360079000001,67.57350551,68.21018762,66.54672367,0.7146289111337681
